epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9935,1.94282,4.41942,1.98256,0,0,0,0,1.57196,4.15875,1.48686,0.0707692,0.00324786,0.00324786
2,125.468,1.45143,2.57826,1.36028,0.8,0.05128,0.42351,0.2723,1.70195,3.36524,1.33732,0.0406389,0.00645089,0.00645089
3,184.525,1.40403,2.02105,1.27068,0.97436,0.48718,0.73668,0.45542,1.56448,2.69863,1.31554,0.0103766,0.00952191,0.00952191
4,242.562,1.32725,1.85107,1.22803,0.91037,0.53846,0.73889,0.50569,1.43937,2.20529,1.22044,0.009406,0.009406,0.009406
5,305.028,1.26706,1.7358,1.19115,0.98861,0.74359,0.86752,0.57684,1.35305,1.90567,1.23428,0.009208,0.009208,0.009208
6,369.685,1.29018,1.67405,1.2265,0.94521,0.88462,0.93453,0.59495,1.35038,1.72943,1.19081,0.00901,0.00901,0.00901
7,434.616,1.21139,1.58158,1.18475,0.91581,0.89744,0.91182,0.57962,1.27279,1.60515,1.15757,0.008812,0.008812,0.008812
8,497.644,1.22861,1.53574,1.17484,0.98387,0.78205,0.88928,0.63615,1.28984,1.68459,1.16488,0.008614,0.008614,0.008614
9,562.091,1.22035,1.37065,1.19978,0.86744,0.75509,0.86327,0.56753,1.29707,1.53771,1.21132,0.008416,0.008416,0.008416
10,625.394,1.19311,1.32598,1.18384,0.87761,0.8274,0.88191,0.58549,1.39177,1.51644,1.27994,0.008218,0.008218,0.008218
11,690.422,1.19309,1.25126,1.17761,0.95866,0.89186,0.9356,0.62517,1.2769,1.24623,1.18367,0.00802,0.00802,0.00802
12,756.454,1.19591,1.18499,1.19498,0.93103,0.69231,0.83049,0.59068,1.37843,1.45979,1.2044,0.007822,0.007822,0.007822
13,821.693,1.18138,1.18023,1.16541,0.9726,0.91026,0.95346,0.65774,1.22293,1.1511,1.15521,0.007624,0.007624,0.007624
14,886.522,1.12387,1.07356,1.15474,0.93243,0.88462,0.93519,0.65438,1.2157,1.09313,1.12996,0.007426,0.007426,0.007426
15,951.447,1.12968,1.06658,1.14792,0.98678,0.95734,0.98087,0.6689,1.22919,1.06295,1.15466,0.007228,0.007228,0.007228
16,1016.75,1.15578,0.98099,1.1538,0.97673,0.92308,0.96654,0.6331,1.30625,1.0049,1.18581,0.00703,0.00703,0.00703
17,1080.62,1.14991,0.98514,1.16775,0.98678,0.95718,0.98403,0.66383,1.24892,0.91391,1.14184,0.006832,0.006832,0.006832
18,1145.16,1.13661,0.9459,1.15329,0.9863,0.92308,0.96022,0.6667,1.24627,0.92549,1.14584,0.006634,0.006634,0.006634
19,1215.08,1.1035,0.89978,1.1408,0.94828,0.70513,0.83988,0.61692,1.25605,1.17689,1.1829,0.006436,0.006436,0.006436
20,1278.92,1.0926,0.87759,1.11533,0.96154,0.96154,0.96007,0.67836,1.20634,0.87222,1.12201,0.006238,0.006238,0.006238
21,1345.44,1.08165,0.84754,1.11184,1,0.58974,0.79487,0.6007,1.28594,1.38629,1.16946,0.00604,0.00604,0.00604
22,1412.59,1.05875,0.83086,1.10547,0.96144,0.95896,0.97559,0.66254,1.17365,0.85395,1.10462,0.005842,0.005842,0.005842
23,1477.01,1.05165,0.79025,1.10114,0.98718,0.98718,0.9918,0.69226,1.16818,0.80596,1.13377,0.005644,0.005644,0.005644
24,10119.1,1.012,0.74485,1.09389,0.97324,0.93261,0.9606,0.68648,1.14751,0.76794,1.08964,0.005446,0.005446,0.005446
25,10177.1,1.04208,0.75971,1.10811,0.94737,0.92308,0.95058,0.66593,1.17671,0.84078,1.11424,0.005248,0.005248,0.005248
